Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2020-01-31,84.029999,84.339996,82.339996,82.559998,81.45504,2850400,18.69711230810519,Down,Inbetween Bollingers Band
2020-02-03,83.290001,83.690002,82.110001,82.150002,81.050514,1919800,17.597525950631123,Down,Inbetween Bollingers Band
2020-02-04,82.849998,83.900002,82.779999,83.519997,82.402184,1676000,32.96571838847689,Down,Inbetween Bollingers Band
2020-02-05,84.529999,85.5,84.389999,84.93,83.793327,2345100,45.2307165527566,Down,Inbetween Bollingers Band
2020-02-06,85.309998,85.389999,84.580002,84.82,83.684792,835500,44.48978907658794,Down,Inbetween Bollingers Band
2020-02-07,84.610001,84.790001,82.919998,83.169998,82.056885,1447600,34.57805995016123,Down,Inbetween Bollingers Band
2020-02-10,83.040001,84.639999,82.93,84.43,83.300018,2066900,45.41272078357965,Down,Inbetween Bollingers Band
2020-02-11,85.029999,85.669998,84.839996,85.089996,83.95118,1543200,50.4295887003786,Down,Inbetween Bollingers Band
2020-02-12,85.400002,86.059998,85.290001,85.43,84.286636,1464200,53.024406112129505,Down,Inbetween Bollingers Band
2020-02-13,85.099998,85.68,84.660004,85.470001,84.326096,1596300,53.3594611457585,UP,Inbetween Bollingers Band
2020-02-14,85.720001,85.860001,85.120003,85.82,84.671417,1965400,56.52532959175057,UP,Inbetween Bollingers Band
2020-02-18,85.660004,86.080002,84.529999,84.790001,83.655197,2872500,45.84204444060873,UP,Inbetween Bollingers Band
2020-02-19,84.699997,85.839996,83.449997,85.349998,84.207695,4741300,51.63955761322529,UP,Inbetween Bollingers Band
2020-02-20,84.900002,84.989998,83.360001,84.339996,83.21122,2543600,42.14619015100243,UP,Inbetween Bollingers Band
2020-02-21,83.900002,85.089996,83.400002,85.07,83.93145,1762500,49.91101399976483,UP,Inbetween Bollingers Band
2020-02-24,82.220001,82.589996,80.019997,80.5,79.422607,2919200,25.20430023087677,Down,Inbetween Bollingers Band
2020-02-25,80.699997,80.879997,77.690002,77.949997,76.906746,2768000,19.061739701487383,Down,Below Lower band
2020-02-26,78.660004,80.269997,78.089996,78.110001,77.064606,2526000,20.480409042098998,Down,Inbetween Bollingers Band
2020-02-27,76.68,80.300003,76.370003,77.43,76.3937,2879400,18.84280383123088,Down,Inbetween Bollingers Band
2020-02-28,74.970001,77.07,74.169998,77.07,76.038521,3755600,17.95602915746251,Down,Inbetween Bollingers Band
2020-03-02,77.309998,82.0,77.239998,81.970001,80.872948,3407500,53.04608595751635,Down,Inbetween Bollingers Band
2020-03-03,81.889999,85.0,79.279999,80.32,79.245018,3017200,45.415182294572645,Down,Inbetween Bollingers Band
2020-03-04,81.769997,84.43,80.720001,84.349998,83.221085,1905300,61.284862862009355,UP,Inbetween Bollingers Band
2020-03-05,82.139999,83.25,79.699997,80.459999,79.383148,2322600,46.16887458831701,UP,Inbetween Bollingers Band
2020-03-06,77.949997,78.900002,76.5,78.559998,77.508583,2959900,40.47946105373234,Down,Inbetween Bollingers Band
2020-03-09,72.589996,74.190002,70.169998,70.75,69.803101,4598200,25.443283048716268,Down,Below Lower band
2020-03-10,73.050003,73.620003,69.660004,72.910004,71.934196,3537300,33.422823806077275,Down,Inbetween Bollingers Band
2020-03-11,70.760002,71.730003,67.57,68.839996,67.918671,4985900,27.056970778249507,Down,Below Lower band
2020-03-12,64.0,67.139999,62.16,63.419998,62.571205,5055000,20.87867287197146,Down,Below Lower band
2020-03-13,66.529999,69.510002,63.75,69.199997,68.273849,3261200,38.38362211559718,Down,Inbetween Bollingers Band
2020-03-16,63.41,66.620003,61.130001,64.129997,63.271702,4742800,31.297562691869615,Down,Inbetween Bollingers Band
2020-03-17,66.019997,70.529999,63.939999,70.440002,69.497261,3341800,45.82071249434864,Down,Inbetween Bollingers Band
2020-03-18,65.190002,69.879997,65.18,68.870003,67.948265,4123900,43.171570409709226,Down,Inbetween Bollingers Band
2020-03-19,68.540001,68.589996,64.169998,65.760002,64.879898,3430700,38.08318009687894,Down,Inbetween Bollingers Band
2020-03-20,65.989998,71.0,64.959999,66.459999,65.570518,3258400,39.94197824315932,Down,Inbetween Bollingers Band
2020-03-23,66.800003,67.559998,62.09,63.369999,62.52187,2989600,34.593470344130125,Down,Inbetween Bollingers Band
2020-03-24,65.529999,68.18,64.599998,67.0,66.103287,2868900,44.735871692625416,Down,Inbetween Bollingers Band
2020-03-25,67.120003,71.790001,65.110001,69.0,68.07653,2628100,49.7450972936292,Down,Inbetween Bollingers Band
2020-03-26,70.0,74.449997,69.650002,73.720001,72.733353,3267500,59.78207347822775,UP,Inbetween Bollingers Band
2020-03-27,71.550003,73.209999,70.279999,70.910004,69.960968,1829800,52.49942124477871,UP,Inbetween Bollingers Band
2020-03-30,71.059998,73.18,71.059998,72.669998,71.879868,1486200,56.75358587536806,UP,Inbetween Bollingers Band
2020-03-31,72.339996,72.800003,70.5,71.620003,70.841278,1822100,53.71580751734109,UP,Inbetween Bollingers Band
2020-04-01,69.470001,70.230003,68.150002,68.919998,68.170639,2173600,46.283748618561496,UP,Inbetween Bollingers Band
2020-04-02,68.269997,72.449997,68.139999,72.290001,71.504005,1840300,55.29141966366583,UP,Inbetween Bollingers Band
2020-04-03,71.709999,72.330002,69.660004,70.419998,69.654335,2052600,49.8768507542178,UP,Inbetween Bollingers Band
2020-04-06,72.970001,74.989998,72.25,74.360001,73.551498,2312000,59.601473756140166,UP,Inbetween Bollingers Band
2020-04-07,76.610001,77.559998,74.019997,74.029999,73.225075,2458000,58.492519271539,UP,Inbetween Bollingers Band
2020-04-08,74.169998,77.169998,72.75,76.690002,75.856163,2703000,64.6735164316387,UP,Above Upper  Band
2020-04-09,76.43,78.720001,76.230003,78.330002,77.478325,2399900,68.09131678904895,UP,Above Upper  Band
2020-04-13,77.440002,77.989998,75.019997,76.209999,75.381386,1533000,59.421180577351215,UP,Inbetween Bollingers Band
2020-04-14,77.300003,79.199997,77.239998,78.830002,77.9729,2650300,65.71547282947894,UP,Inbetween Bollingers Band
2020-04-15,77.440002,78.389999,77.0,77.050003,76.212257,2721100,58.52063424318838,UP,Inbetween Bollingers Band
2020-04-16,78.059998,78.919998,76.470001,78.75,77.893761,1969300,63.030562662693555,UP,Inbetween Bollingers Band
2020-04-17,80.089996,80.349998,78.309998,79.550003,78.685066,1313400,65.11309963979038,UP,Inbetween Bollingers Band
2020-04-20,79.050003,79.050003,76.980003,77.370003,76.528778,1679400,55.22340837614732,UP,Inbetween Bollingers Band
2020-04-21,75.760002,75.800003,73.709999,73.75,72.948128,2848100,42.6682746805293,UP,Inbetween Bollingers Band
2020-04-22,74.75,75.580002,73.779999,75.169998,74.352684,2347400,48.071216150726706,UP,Inbetween Bollingers Band
2020-04-23,76.599998,77.489998,75.050003,75.089996,74.27356,2097700,47.77530950078977,UP,Inbetween Bollingers Band
2020-04-24,75.620003,75.910004,74.019997,75.75,74.926384,1654300,50.69664068375257,UP,Inbetween Bollingers Band
2020-04-27,76.349998,76.620003,75.839996,76.25,75.420952,1295800,53.01937940145872,UP,Inbetween Bollingers Band
2020-04-28,77.0,77.0,75.339996,75.449997,74.629639,1855900,48.73367613363946,Down,Inbetween Bollingers Band
