Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2021-04-23,9.8,9.81,9.79,9.81,9.81,195300,40.80019476200312,Down,Inbetween Bollingers Band
2021-04-26,9.79,9.86,9.78,9.8,9.8,86100,38.56613617696986,Down,Inbetween Bollingers Band
2021-04-27,9.84,9.869,9.791,9.8,9.8,109500,38.56613617696986,Down,Inbetween Bollingers Band
2021-04-28,9.84,9.84,9.79,9.8,9.8,139800,38.56613617696986,Down,Inbetween Bollingers Band
2021-04-29,9.81,9.86,9.805,9.82,9.82,58500,47.66692326644705,Down,Inbetween Bollingers Band
2021-04-30,9.81,9.87,9.75,9.83,9.83,901500,51.82956016271332,Down,Inbetween Bollingers Band
2021-05-03,9.87,9.87,9.8,9.81,9.81,2208200,43.71603147042674,Down,Inbetween Bollingers Band
2021-05-04,9.83,9.849,9.81,9.83,9.83,406200,52.4079129016155,UP,Inbetween Bollingers Band
2021-05-05,9.83,9.85,9.82,9.83,9.83,64700,52.40791290161551,UP,Inbetween Bollingers Band
2021-05-06,9.82,9.86,9.8,9.81,9.81,340400,43.305340902126815,UP,Inbetween Bollingers Band
2021-05-07,9.81,9.86,9.8,9.825,9.825,95800,50.78486539106944,UP,Inbetween Bollingers Band
2021-05-10,9.88,9.88,9.82,9.86,9.86,76100,63.789318953652604,UP,Inbetween Bollingers Band
2021-05-11,9.81,9.86,9.78,9.84,9.84,594500,54.23533516166877,UP,Inbetween Bollingers Band
2021-05-12,9.84,9.895,9.83,9.88,9.88,1527500,66.08700341089957,UP,Above Upper  Band
2021-05-13,9.82,9.89,9.79,9.79,9.79,377600,39.3422828608903,UP,Inbetween Bollingers Band
2021-05-14,9.82,9.83,9.76,9.82,9.82,165500,47.59045848713065,UP,Inbetween Bollingers Band
2021-05-17,9.82,9.82,9.76,9.76,9.76,71500,36.12770410426154,Down,Below Lower band
2021-05-18,9.76,9.79,9.75,9.77,9.77,529800,38.98528933944641,Down,Inbetween Bollingers Band
2021-05-19,9.78,9.82,9.75,9.79,9.79,592200,44.75262345031783,Down,Inbetween Bollingers Band
2021-05-20,9.78,9.8,9.77,9.77,9.77,53500,40.30759789241437,Down,Inbetween Bollingers Band
2021-05-21,9.79,9.79,9.78,9.78,9.78,391900,43.57671817529251,Down,Inbetween Bollingers Band
2021-05-24,9.76,9.82,9.76,9.8,9.8,36600,49.969938433000195,Down,Inbetween Bollingers Band
2021-05-25,9.8,9.86,9.79,9.81,9.81,59400,53.0717303435787,Down,Inbetween Bollingers Band
2021-05-26,9.8,9.855,9.78,9.82,9.82,226700,56.237168444084645,UP,Inbetween Bollingers Band
2021-05-27,9.83,9.855,9.81,9.85,9.85,84300,64.59559652524264,UP,Inbetween Bollingers Band
2021-05-28,9.83,9.84,9.77,9.77,9.77,29600,40.519057677509196,UP,Inbetween Bollingers Band
2021-06-01,9.77,9.86,9.76,9.82,9.82,1352500,53.23017421701044,UP,Inbetween Bollingers Band
2021-06-02,9.82,9.86,9.79,9.79,9.79,673100,46.303597695709044,UP,Inbetween Bollingers Band
2021-06-03,9.82,9.85,9.8,9.85,9.85,183700,58.80993221105378,UP,Inbetween Bollingers Band
2021-06-04,9.85,9.85,9.77,9.77,9.77,53900,43.169535773815916,UP,Inbetween Bollingers Band
2021-06-07,9.81,9.82,9.77,9.78,9.78,1878500,45.29136186181918,Down,Inbetween Bollingers Band
2021-06-08,9.8,9.84,9.77,9.81,9.81,498400,51.61423202664286,UP,Inbetween Bollingers Band
2021-06-09,9.81,9.83,9.778,9.78,9.78,214000,45.48167494112464,Down,Inbetween Bollingers Band
2021-06-10,9.79,9.82,9.77,9.79,9.79,45500,47.88948926855228,Down,Inbetween Bollingers Band
2021-06-11,9.82,9.82,9.79,9.8,9.8,22100,50.44296980439743,UP,Inbetween Bollingers Band
2021-06-14,9.81,9.81,9.778,9.79,9.79,49600,47.71518192259825,UP,Inbetween Bollingers Band
2021-06-15,9.79,9.82,9.78,9.8,9.8,53300,50.818044424532566,UP,Inbetween Bollingers Band
2021-06-16,9.79,9.8,9.76,9.76,9.76,116700,39.79657683530419,Down,Inbetween Bollingers Band
2021-06-17,9.76,9.77,9.75,9.76,9.76,18200,39.79657683530419,Down,Inbetween Bollingers Band
2021-06-18,9.766,9.77,9.75,9.75,9.75,25900,37.06144997990404,Down,Inbetween Bollingers Band
2021-06-21,9.79,9.79,9.76,9.76,9.76,10700,41.733400346446416,Down,Inbetween Bollingers Band
2021-06-22,9.75,9.79,9.75,9.76,9.76,38600,41.73340034644641,Down,Inbetween Bollingers Band
2021-06-23,9.78,9.79,9.76,9.77,9.77,375900,47.0801927219799,Down,Inbetween Bollingers Band
2021-06-24,9.76,9.79,9.76,9.79,9.79,172000,56.412913484146905,UP,Inbetween Bollingers Band
2021-06-25,9.8,9.87,9.79,9.87,9.87,1886000,76.09038722360391,UP,Above Upper  Band
2021-06-28,9.84,9.86,9.74,9.8,9.8,763400,52.08612386103472,UP,Inbetween Bollingers Band
2021-06-29,9.74,9.81,9.72,9.77,9.77,64300,44.98966975665357,UP,Inbetween Bollingers Band
2021-06-30,9.76,9.79,9.75,9.75,9.75,19800,40.67899636269266,UP,Inbetween Bollingers Band
