Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2020-12-24,16.76,17.059999,16.540001,16.780001,16.536234,356600,23.193292503219382,Down,Inbetween Bollingers Band
2020-12-28,16.98,17.139999,16.200001,16.370001,16.132189,1187400,19.781165764308227,Down,Inbetween Bollingers Band
2020-12-29,16.4,17.0,16.379999,16.92,16.674198,474900,34.79431386910669,Down,Inbetween Bollingers Band
2020-12-30,17.08,18.299999,17.01,18.120001,17.856768,413800,55.834373520437154,Down,Inbetween Bollingers Band
2020-12-31,18.07,19.379999,17.92,18.959999,18.684563,541700,65.04540897327632,UP,Inbetween Bollingers Band
2021-01-04,19.129999,19.25,17.99,18.809999,18.536741,555600,62.33688777294328,UP,Inbetween Bollingers Band
2021-01-05,18.65,19.99,18.530001,19.57,19.2857,528400,69.77616743022392,UP,Above Upper  Band
2021-01-06,19.65,20.93,19.65,20.85,20.547108,1230900,78.22668856050925,UP,Above Upper  Band
2021-01-07,21.0,21.639999,20.9,21.370001,21.059553,984400,80.77441083187202,UP,Above Upper  Band
2021-01-08,21.75,21.75,20.09,20.190001,19.896694,487900,61.67018517003911,UP,Inbetween Bollingers Band
2021-01-11,20.120001,20.549999,19.620001,20.51,20.212046,511700,64.33869149108048,UP,Inbetween Bollingers Band
2021-01-12,20.57,20.9,20.25,20.85,20.547108,548000,67.1717504770954,UP,Inbetween Bollingers Band
2021-01-13,20.709999,21.67,20.68,21.5,21.187664,587300,72.11302000926923,UP,Inbetween Bollingers Band
2021-01-14,21.610001,22.99,21.059999,22.48,22.153427,783600,77.95075940497965,UP,Above Upper  Band
2021-01-15,22.129999,22.709999,20.889999,21.469999,21.1581,669000,62.27585418000143,UP,Inbetween Bollingers Band
2021-01-19,21.75,21.84,20.98,21.07,20.76391,366800,56.98158849120881,UP,Inbetween Bollingers Band
2021-01-20,21.01,21.34,20.299999,20.559999,20.261318,408600,50.5847889676771,UP,Inbetween Bollingers Band
2021-01-21,20.75,20.790001,20.18,20.190001,19.896694,364400,46.19540626219814,UP,Inbetween Bollingers Band
2021-01-22,19.93,20.700001,19.52,20.700001,20.399288,299300,52.78398411577699,Down,Inbetween Bollingers Band
2021-01-25,20.559999,21.49,20.51,20.889999,20.586523,315600,55.16991789016355,Down,Inbetween Bollingers Band
2021-01-26,20.889999,21.059999,19.200001,19.32,19.039333,305000,37.097476655781286,Down,Inbetween Bollingers Band
2021-01-27,18.969999,19.17,17.9,18.01,17.748363,482600,28.12791351066548,Down,Inbetween Bollingers Band
2021-01-28,18.110001,18.200001,17.08,17.459999,17.206352,615700,25.149438537077458,Down,Inbetween Bollingers Band
2021-01-29,17.43,17.809999,16.76,16.940001,16.693909,502900,22.519208064447056,Down,Below Lower band
2021-02-01,17.1,18.360001,16.639999,17.959999,17.699089,463800,37.482083784618524,Down,Inbetween Bollingers Band
2021-02-02,18.190001,18.719999,18.01,18.360001,18.093281,305900,42.557429610834774,Down,Inbetween Bollingers Band
2021-02-03,18.370001,18.554001,17.889999,17.99,17.728653,249700,39.129336362831005,Down,Inbetween Bollingers Band
2021-02-04,18.0,18.98,17.790001,18.959999,18.684563,332000,51.16171347451286,Down,Inbetween Bollingers Band
2021-02-05,19.309999,19.639999,18.629999,19.629999,19.34483,362600,57.87230057898629,Down,Inbetween Bollingers Band
2021-02-08,19.860001,20.4,19.389999,19.58,19.295555,342100,57.188137112058605,Down,Inbetween Bollingers Band
2021-02-09,19.5,20.780001,19.23,20.65,20.350012,373600,66.94439504285702,UP,Inbetween Bollingers Band
2021-02-10,20.75,20.93,19.9,20.120001,19.827713,271700,59.15430284437082,UP,Inbetween Bollingers Band
2021-02-11,19.950001,20.049999,19.309999,19.940001,19.650328,547300,56.5470519094922,UP,Inbetween Bollingers Band
2021-02-12,19.780001,20.200001,19.57,19.969999,19.679892,250200,56.91628677980482,UP,Inbetween Bollingers Band
2021-02-16,20.030001,20.35,19.5,20.26,19.965679,434000,60.68400803541627,UP,Inbetween Bollingers Band
2021-02-17,20.27,20.75,20.16,20.51,20.212046,280600,63.86242923810958,UP,Inbetween Bollingers Band
2021-02-18,20.48,20.59,20.35,20.48,20.182482,136400,63.14772335454401,UP,Inbetween Bollingers Band
2021-02-19,20.5,21.299999,20.35,21.17,20.862457,295900,71.65868241140046,UP,Inbetween Bollingers Band
2021-02-22,21.09,22.43,21.02,22.42,22.094299,482000,80.95490009985625,UP,Above Upper  Band
2021-02-23,22.280001,22.950001,20.77,20.93,20.625944,616900,55.59510855109405,UP,Inbetween Bollingers Band
2021-02-24,21.049999,22.129999,20.440001,22.129999,21.80851,301300,65.69292265950237,UP,Inbetween Bollingers Band
2021-02-25,22.059999,23.24,21.860001,22.17,21.847931,235800,65.99367244794814,UP,Inbetween Bollingers Band
2021-02-26,22.27,22.41,21.795,21.959999,21.64098,405700,62.63090394634504,UP,Inbetween Bollingers Band
2021-03-01,22.459999,22.879999,22.1,22.219999,21.897202,439600,65.19278865445204,UP,Inbetween Bollingers Band
2021-03-02,22.27,22.58,21.639999,21.76,21.443888,226200,57.111183086283425,UP,Inbetween Bollingers Band
2021-03-03,22.01,22.52,21.82,22.129999,21.80851,366500,61.580492403611466,UP,Inbetween Bollingers Band
2021-03-04,22.16,23.209999,22.16,23.1,22.764421,687100,70.86619768412132,UP,Above Upper  Band
2021-03-05,23.440001,24.040001,23.209999,23.959999,23.611925,306800,76.6928956734753,UP,Above Upper  Band
2021-03-08,24.0,25.129,24.0,24.76,24.400307,341000,80.84956687934961,UP,Above Upper  Band
2021-03-09,24.700001,25.15,24.27,24.459999,24.104662,352300,74.9978063954966,UP,Above Upper  Band
2021-03-10,24.209999,24.360001,23.209999,24.040001,23.690765,309000,67.06914054720633,UP,Inbetween Bollingers Band
2021-03-11,24.309999,24.549999,23.67,24.4,24.045534,447000,70.2176873106125,UP,Inbetween Bollingers Band
2021-03-12,24.58,25.780001,24.559999,25.389999,25.021152,365300,77.20890966880634,UP,Above Upper  Band
2021-03-15,25.48,26.665001,25.1,26.5,26.115028,624100,82.56314948855899,UP,Above Upper  Band
2021-03-16,26.440001,27.02,25.860001,26.83,26.440233,268700,83.87691196231069,UP,Above Upper  Band
2021-03-17,26.700001,26.860001,26.059999,26.52,26.232512,260700,79.4179140961444,UP,Inbetween Bollingers Band
2021-03-18,26.5,27.014,25.85,26.059999,25.777498,212200,69.91886089372096,UP,Inbetween Bollingers Band
2021-03-19,26.0,26.41,25.370001,25.860001,25.579668,658600,65.91950578187536,UP,Inbetween Bollingers Band
2021-03-22,25.799999,26.49,25.33,25.459999,25.184,257800,58.1572956826205,UP,Inbetween Bollingers Band
2021-03-23,25.01,25.34,23.93,24.02,23.759611,174200,38.912744517358654,Down,Inbetween Bollingers Band
2021-03-24,24.290001,24.74,24.17,24.389999,24.125601,348600,44.42547476772672,Down,Inbetween Bollingers Band
2021-03-25,24.190001,25.629999,23.690001,25.469999,25.193892,202000,57.48955685531022,Down,Inbetween Bollingers Band
2021-03-26,25.75,26.48,25.43,25.99,25.708256,394700,62.44818818680312,Down,Inbetween Bollingers Band
2021-03-29,25.85,26.6,24.92,24.93,24.659746,161900,48.886740053303306,Down,Inbetween Bollingers Band
2021-03-30,24.809999,25.455,24.68,25.18,24.907038,241100,51.76877220880603,Down,Inbetween Bollingers Band
2021-03-31,25.25,26.01,25.01,25.68,25.401617,335900,57.3764979542313,Down,Inbetween Bollingers Band
2021-04-01,25.610001,26.215,25.610001,26.01,25.728041,178600,60.87887563043369,Down,Inbetween Bollingers Band
2021-04-05,26.27,26.610001,25.98,26.57,26.281969,227500,66.352604973435,Down,Inbetween Bollingers Band
2021-04-06,26.530001,27.18,25.889999,26.01,25.728041,239000,57.04134342337335,Down,Inbetween Bollingers Band
2021-04-07,26.1,26.709999,25.110001,25.16,24.887253,332500,45.68781371921329,Down,Inbetween Bollingers Band
2021-04-08,25.200001,25.200001,24.545,24.940001,24.66964,189800,43.09757882899644,Down,Inbetween Bollingers Band
2021-04-09,25.0,25.08,24.413,24.65,24.382782,153600,39.641250154055314,Down,Inbetween Bollingers Band
2021-04-12,24.780001,24.997999,24.42,24.879999,24.610287,127400,43.81076969977398,Down,Inbetween Bollingers Band
2021-04-13,24.75,24.9,24.0,24.190001,23.927769,173900,35.280694546743874,Down,Inbetween Bollingers Band
2021-04-14,24.18,25.200001,24.18,24.860001,24.590508,227300,46.976178716994724,Down,Inbetween Bollingers Band
2021-04-15,25.02,25.155001,24.549999,24.91,24.639965,191500,47.797489970624504,Down,Inbetween Bollingers Band
2021-04-16,25.0,25.57,24.6,25.540001,25.263136,236200,57.47942446873827,Down,Inbetween Bollingers Band
2021-04-19,25.459999,25.9,25.1,25.549999,25.273026,205400,57.6249425304646,Down,Inbetween Bollingers Band
2021-04-20,25.549999,25.85,23.82,24.200001,23.937662,163100,37.440717122217436,Down,Inbetween Bollingers Band
2021-04-21,24.15,25.01,24.02,25.0,24.728989,300900,49.63674668674486,Down,Inbetween Bollingers Band
2021-04-22,25.08,25.620001,24.27,24.290001,24.026686,287100,41.30007216201542,Down,Inbetween Bollingers Band
2021-04-23,24.540001,26.030001,24.18,25.780001,25.500534,187300,58.40456412774048,Down,Inbetween Bollingers Band
2021-04-26,25.75,26.99,25.75,26.43,26.143486,268700,63.77655221974212,Down,Above Upper  Band
2021-04-27,30.25,34.259998,29.610001,34.16,33.789688,935000,87.0253215884342,UP,Above Upper  Band
2021-04-28,34.259998,34.259998,31.66,32.18,31.831154,666900,73.0202417502116,UP,Above Upper  Band
2021-04-29,33.009998,33.400002,30.299999,31.32,30.980476,624800,67.51447600830048,UP,Inbetween Bollingers Band
2021-04-30,31.1,32.146999,30.84,30.889999,30.555138,332100,64.67005758244119,UP,Inbetween Bollingers Band
2021-05-03,31.309999,31.440001,30.5,30.709999,30.37709,494100,63.366277090100446,UP,Inbetween Bollingers Band
2021-05-04,30.32,31.17,29.98,30.809999,30.476006,332700,63.83879724105869,UP,Inbetween Bollingers Band
2021-05-05,30.91,31.59,30.58,30.98,30.644163,330300,64.74079809787789,UP,Inbetween Bollingers Band
2021-05-06,31.219999,32.599998,31.1,31.84,31.494839,467200,69.26546623714736,UP,Inbetween Bollingers Band
2021-05-07,31.889999,32.860001,31.85,32.209999,31.860828,238400,71.12533318809321,UP,Inbetween Bollingers Band
2021-05-10,32.43,32.619999,30.950001,31.290001,30.950804,356700,60.50416839658809,UP,Inbetween Bollingers Band
2021-05-11,30.32,31.969999,30.209999,31.709999,31.366247,249700,63.41400183824835,UP,Inbetween Bollingers Band
2021-05-12,31.389999,31.959999,28.879999,29.48,29.160423,858900,43.54231969130751,Down,Inbetween Bollingers Band
2021-05-13,29.65,31.475,29.59,31.27,30.931019,373800,56.35133733358634,Down,Inbetween Bollingers Band
2021-05-14,31.51,32.98,31.139999,32.57,32.216927,247800,63.38917871007096,Down,Inbetween Bollingers Band
2021-05-17,32.139999,33.125,32.02,32.73,32.375191,255900,64.21761076911896,UP,Inbetween Bollingers Band
2021-05-18,33.009998,33.5,32.41,32.470001,32.118015,192700,61.5760865413105,UP,Inbetween Bollingers Band
2021-05-19,31.709999,33.139999,31.51,33.09,32.731289,237700,65.52172175108791,UP,Inbetween Bollingers Band
2021-05-20,32.919998,33.990002,32.668999,33.759998,33.394024,262600,69.47375721028723,UP,Inbetween Bollingers Band
2021-05-21,33.98,35.169998,33.535,34.77,34.393074,412800,74.59512957249467,UP,Inbetween Bollingers Band
