Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2017-02-01,42.75,43.240002,42.150002,42.330002,36.703922,124400,38.000651246575586,Down,Above Upper  Band
2017-02-02,42.290001,42.900002,42.23,42.5,36.851341,478500,41.84981629853618,Down,Above Upper  Band
2017-02-03,42.84,42.93,42.549999,42.900002,37.19817,174700,50.31628322567171,Down,Above Upper  Band
2017-02-06,42.970001,43.169998,42.59,43.02,37.302219,109100,52.7253495039278,Down,Above Upper  Band
2017-02-07,42.98,43.34,42.439999,42.52,36.868675,172300,42.668084817058535,Down,Above Upper  Band
2017-02-08,42.549999,43.150002,42.509998,43.130001,37.397606,123700,54.91008673763459,UP,Above Upper  Band
2017-02-09,43.209999,43.43,43.09,43.189999,37.449627,76000,55.98841131523823,UP,Above Upper  Band
2017-02-10,43.259998,43.919998,43.07,43.900002,38.065262,81000,66.91326090526618,UP,Above Upper  Band
2017-02-13,44.09,44.09,43.360001,43.619999,37.822479,126700,60.054640697088175,UP,Above Upper  Band
2017-02-14,43.450001,43.509998,43.060001,43.419998,37.649059,106100,55.32855506655613,UP,Above Upper  Band
2017-02-15,42.59,43.41,41.970001,43.09,37.362926,258300,48.04972652246839,UP,Above Upper  Band
2017-02-16,43.209999,43.509998,43.110001,43.220001,37.475643,106100,51.0116461510596,UP,Above Upper  Band
2017-02-17,43.599998,43.650002,42.919998,43.200001,37.458298,186800,50.49479708547409,UP,Above Upper  Band
2017-02-21,43.630001,44.779999,43.139999,44.57,38.646214,340500,72.64250938033462,UP,Above Upper  Band
2017-02-22,43.68,44.790001,43.68,44.110001,38.247353,225200,61.810205235342885,UP,Above Upper  Band
2017-02-23,44.099998,44.43,43.740002,44.200001,38.32539,222100,63.06729672237289,UP,Above Upper  Band
2017-02-24,44.299999,44.299999,43.880001,44.130001,38.264694,201600,61.23815255465499,UP,Above Upper  Band
2017-02-27,44.310001,44.560001,44.119999,44.330002,38.438118,240900,64.65530157445677,UP,Above Upper  Band
2017-02-28,44.34,44.48,43.91,44.0,38.151966,234600,55.27489332349147,UP,Above Upper  Band
2017-03-01,43.970001,44.07,43.369999,43.790001,37.969875,228200,49.90014770513343,UP,Above Upper  Band
2017-03-02,43.560001,43.560001,42.799999,43.09,37.362926,254700,36.20860687695993,Down,Above Upper  Band
2017-03-03,43.240002,43.259998,42.630001,42.990002,37.276215,163000,34.625133606507134,Down,Above Upper  Band
2017-03-06,42.84,43.029999,42.580002,42.689999,37.01609,155800,30.028983165302535,Down,Above Upper  Band
2017-03-07,42.610001,42.900002,42.32,42.34,36.712608,195300,25.433720811425076,Down,Above Upper  Band
2017-03-08,42.029999,42.099998,41.59,41.619999,36.088295,200200,18.601822296119465,Down,Above Upper  Band
2017-03-09,41.689999,41.900002,40.759998,40.799999,35.377281,282600,13.70899664607191,Down,Above Upper  Band
2017-03-10,41.23,41.450001,40.669998,41.18,35.706776,269800,24.452410964627546,Down,Above Upper  Band
2017-03-13,41.52,42.040001,41.389999,41.799999,36.244366,375200,38.92616369911804,Down,Above Upper  Band
2017-03-14,41.419998,41.799999,41.360001,41.669998,36.3578,174700,41.676845778456276,Down,Above Upper  Band
2017-03-15,41.919998,43.080002,41.889999,42.720001,37.273945,245700,59.05360062156691,Down,Above Upper  Band
2017-03-16,42.619999,43.060001,42.52,42.599998,37.169235,207200,56.79715442791234,Down,Above Upper  Band
2017-03-17,42.91,42.93,42.259998,42.330002,36.933659,2040300,51.620052509829215,Down,Above Upper  Band
2017-03-20,42.450001,42.540001,42.009998,42.049999,36.689362,241000,46.49285303081784,Down,Above Upper  Band
2017-03-21,42.240002,42.299999,41.77,41.810001,36.479946,235700,42.29181500933304,Down,Above Upper  Band
2017-03-22,41.759998,42.130001,40.990002,41.200001,35.94772,489200,33.355298491909934,Down,Above Upper  Band
2017-03-23,41.130001,42.610001,41.130001,42.07,36.706802,437900,50.69206645850495,Down,Above Upper  Band
2017-03-24,42.049999,42.450001,41.860001,41.919998,36.575928,291300,48.17146691167386,Down,Above Upper  Band
2017-03-27,41.610001,42.080002,41.18,41.380001,36.104771,221700,39.849185952701475,Down,Above Upper  Band
2017-03-28,41.41,41.470001,41.110001,41.290001,36.026249,303200,38.55410873289652,Down,Above Upper  Band
2017-03-29,41.32,41.52,41.080002,41.18,35.930271,247300,36.84645784906536,Down,Above Upper  Band
2017-03-30,41.240002,41.610001,40.93,41.57,36.270546,267600,46.62494922412711,Down,Above Upper  Band
2017-03-31,41.490002,42.009998,41.490002,41.84,36.50613,503600,52.55826235323116,UP,Above Upper  Band
2017-04-03,41.790001,41.990002,41.52,41.799999,36.471226,240300,51.56740655299215,UP,Above Upper  Band
2017-04-04,41.790001,41.939999,41.599998,41.849998,36.514851,262300,52.8632023342776,UP,Above Upper  Band
2017-04-05,41.830002,42.029999,41.43,41.439999,36.157124,169800,42.09007868853015,UP,Above Upper  Band
2017-04-06,41.43,42.16,41.189999,42.02,36.663181,267500,56.665383340104064,UP,Above Upper  Band
2017-04-07,42.009998,42.32,41.830002,41.950001,36.602108,249300,54.72603744036026,UP,Above Upper  Band
2017-04-10,41.860001,42.91,41.720001,42.900002,37.430996,524100,70.63782700350222,UP,Above Upper  Band
2017-04-11,43.040001,43.5,42.939999,43.400002,37.867252,340200,75.84961684359062,UP,Above Upper  Band
2017-04-12,43.599998,44.299999,43.310001,44.02,38.408215,482000,80.78401591817823,UP,Above Upper  Band
2017-04-13,44.23,44.389999,43.84,43.84,38.25116,348400,75.5551746982386,UP,Above Upper  Band
2017-04-17,44.139999,44.529999,44.099998,44.529999,38.853199,184800,81.04269618417715,UP,Above Upper  Band
2017-04-18,44.529999,44.830002,44.380001,44.529999,38.853199,282500,81.04269618417715,UP,Above Upper  Band
2017-04-19,44.66,44.810001,44.43,44.509998,38.835747,271600,80.33117542511937,UP,Above Upper  Band
2017-04-20,44.599998,44.639999,44.25,44.490002,38.818295,250800,79.51669842717854,UP,Above Upper  Band
2017-04-21,44.5,44.540001,43.959999,44.18,38.547817,191500,67.19752638792866,UP,Above Upper  Band
2017-04-24,44.580002,44.610001,43.07,43.09,37.596783,330400,41.08615920485945,UP,Above Upper  Band
2017-04-25,43.119999,43.560001,43.119999,43.48,37.937054,266700,49.308364437730184,UP,Above Upper  Band
