Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2017-02-01,50.610001,50.639999,49.810001,49.848,49.848,19794000,60.81094992450512,UP,Inbetween Bollingers Band
2017-02-02,49.667999,50.484001,49.542,50.310001,50.310001,12499000,66.59062852825531,UP,Inbetween Bollingers Band
2017-02-03,50.382,50.436001,49.936001,50.265999,50.265999,10933500,65.51696302134425,UP,Inbetween Bollingers Band
2017-02-06,50.200001,51.563999,50.125999,51.554001,51.554001,17812500,77.7616803832852,UP,Inbetween Bollingers Band
2017-02-07,51.638,52.0,51.284,51.495998,51.495998,21224000,76.33750998165074,UP,Inbetween Bollingers Band
2017-02-08,51.470001,52.672001,51.240002,52.416,52.416,19665000,82.3270191108853,UP,Inbetween Bollingers Band
2017-02-09,53.25,54.236,53.23,53.84,53.84,39101000,87.87101810389704,UP,Above Upper  Band
2017-02-10,53.958,54.189999,53.222,53.846001,53.846001,18098500,87.88969603658188,UP,Inbetween Bollingers Band
2017-02-13,54.147999,56.158001,54.102001,56.119999,56.119999,35148000,92.79490431139557,UP,Above Upper  Band
2017-02-14,55.806,57.478001,55.722,56.195999,56.195999,36726000,92.9069272919246,UP,Above Upper  Band
2017-02-15,56.0,56.448002,55.287998,55.952,55.952,24739500,87.79417984553297,UP,Inbetween Bollingers Band
2017-02-16,55.52,56.0,53.700001,53.790001,53.790001,35386500,55.959789010099485,UP,Inbetween Bollingers Band
2017-02-17,53.16,54.577999,52.830002,54.445999,54.445999,31285500,60.969664355772224,UP,Inbetween Bollingers Band
2017-02-21,55.09,56.279999,54.801998,55.478001,55.478001,28383500,67.71114108467836,UP,Inbetween Bollingers Band
2017-02-22,56.062,56.689999,54.52,54.702,54.702,43775000,58.80133109044628,UP,Inbetween Bollingers Band
2017-02-23,52.799999,52.931999,51.112,51.198002,51.198002,74576000,34.72799174493399,Down,Inbetween Bollingers Band
2017-02-24,50.532001,51.650002,50.040001,51.400002,51.400002,40858000,36.477088700440014,Down,Inbetween Bollingers Band
2017-02-27,49.633999,49.672001,48.402,49.245998,49.245998,57304000,27.3570276772615,Down,Inbetween Bollingers Band
2017-02-28,48.838001,50.200001,48.779999,49.998001,49.998001,30390500,34.07092106678688,Down,Inbetween Bollingers Band
2017-03-01,50.835999,50.970001,49.821999,50.004002,50.004002,24047500,34.12760176004238,Down,Inbetween Bollingers Band
2017-03-02,49.942001,50.655998,49.653999,50.096001,50.096001,16759000,35.1251655514569,Down,Inbetween Bollingers Band
2017-03-03,50.147999,50.380001,49.799999,50.313999,50.313999,14597000,37.732027996230386,Down,Inbetween Bollingers Band
2017-03-06,49.582001,50.34,49.501999,50.242001,50.242001,16777500,37.156728446175045,Down,Inbetween Bollingers Band
