Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2017-02-01,17.84,17.92,17.1,17.24,17.24,21208100,58.22909207685774,UP,Inbetween Bollingers Band
2017-02-02,17.33,17.860001,17.120001,17.780001,17.780001,19415600,68.54370444304983,UP,Inbetween Bollingers Band
2017-02-03,17.719999,17.85,17.440001,17.610001,17.610001,14431300,62.844100747319054,UP,Inbetween Bollingers Band
2017-02-06,17.700001,17.969999,17.41,17.93,17.93,13226700,68.5814324274329,UP,Inbetween Bollingers Band
2017-02-07,18.0,18.67,17.99,18.26,18.26,26834800,73.5038367188991,UP,Above Upper  Band
2017-02-08,18.77,18.77,18.049999,18.719999,18.719999,37419100,78.8839687456922,UP,Above Upper  Band
2017-02-09,18.719999,18.719999,16.26,16.41,16.41,109299300,36.026175918253884,UP,Inbetween Bollingers Band
2017-02-10,15.96,16.0,15.5,15.58,15.58,73061200,29.343303821317022,Down,Below Lower band
2017-02-13,15.63,15.99,15.51,15.81,15.81,29143700,33.34091772929354,Down,Inbetween Bollingers Band
2017-02-14,15.92,16.6,15.85,16.52,16.52,35090700,44.62440253061534,Down,Inbetween Bollingers Band
2017-02-15,16.85,16.889999,16.299999,16.74,16.74,35204800,47.817553667710165,Down,Inbetween Bollingers Band
2017-02-16,16.690001,16.790001,16.32,16.35,16.35,21636200,42.72252451433253,Down,Inbetween Bollingers Band
2017-02-17,16.360001,16.629999,16.360001,16.620001,16.620001,14378200,47.26127685163832,Down,Inbetween Bollingers Band
2017-02-21,16.639999,16.690001,16.299999,16.42,16.42,16026800,44.23223622776875,Down,Inbetween Bollingers Band
2017-02-22,16.4,16.51,16.01,16.08,16.08,13606200,39.243801876394556,Down,Inbetween Bollingers Band
2017-02-23,16.120001,16.27,15.9,16.030001,16.030001,15304500,38.498893591671674,Down,Inbetween Bollingers Band
2017-02-24,15.95,15.99,15.85,15.98,15.98,9139800,37.6647684845471,Down,Inbetween Bollingers Band
