S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,Change,Up,Down,avg Up,avg Down,RS,RSI
2,2022-02-03,250,JFL,Janaki Finance Ltd.,705.0,710.0,690.9,692.0,47288,32998245.8,692.1,836.0,244.0,2022-02-03T14:59:56.903676,692.0,347,697.81,4154.85,-168.39999999999998,0.0,-168.39999999999998,0.0,-90.67692307692306,0.0,0.0
3,2022-02-03,338,PROFL,ProgressiveFinance Limited,411.0,414.0,395.0,399.0,35097,14220282.6,406.0,574.0,152.0,2022-02-03T14:59:32.575852,399.0,274,405.17,3415.87,-293.0,0.0,-293.0,0.0,-168.73858267716534,0.0,0.0
4,2022-02-03,490,FMDBL,First Micro Finance Development Bank Ltd.,900.0,907.8,880.0,882.0,18702,16734227.5,899.0,1365.0,667.0,2022-02-03T14:59:58.793621,882.0,172,894.78,8506.82,483.0,483.0,0.0,149.92669683257918,-116.36090497737555,1.2884627947997649,56.30254499778758
5,2022-02-03,575,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,1305.0,1330.0,1255.0,1260.0,23384,30148577.4,1305.6,1800.0,1001.0,2022-02-03T14:59:56.831931,1260.0,302,1289.28,15637.44,378.0,378.0,0.0,210.56272838002434,-85.4249584763592,2.464885346573463,71.13901615853084
6,2022-02-03,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,1400.0,1445.0,1361.1,1395.0,1535,2136157.0,1423.0,2036.0,1240.0,2022-02-03T14:59:40.143108,1395.0,45,1391.63,4463.96,135.0,135.0,0.0,192.673883340611,-65.20131280548786,2.9550614098125036,74.71594252572157
7,2022-02-03,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,1126.0,1127.0,1100.0,1100.0,3751,4166997.0,1105.0,1661.0,1000.0,2022-02-03T14:59:50.490248,1100.0,54,1110.9,7214.49,-295.0,0.0,-295.0,150.974843958963,-114.93500966691009,1.3135670706123306,56.77670154013168
8,2022-02-03,2787,KPCL,Kalika power Company Ltd,549.0,575.0,545.0,547.9,38315,21474442.1,539.0,878.9,221.0,2022-02-03T14:59:55.619525,547.9,267,560.47,3780.51,-552.1,0.0,-552.1,120.53943505618473,-203.06422967380914,0.593602503256297,37.24909455421637
9,2022-02-03,2809,SHIVM,SHIVAM CEMENTS LTD,1524.0,1524.0,1470.0,1470.0,57741,85999213.7,1496.0,1910.0,1027.0,2022-02-03T14:59:57.015460,1470.0,488,1489.39,64680.0,922.1,922.1,0.0,273.1636499426887,-164.39900588292784,1.6615894267463793,62.42846511370331
10,2022-02-03,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,425.0,435.0,420.5,420.5,129967,55565500.5,422.0,613.0,301.0,2022-02-03T14:59:55.933865,420.5,825,427.53,25893.93,-1049.5,0.0,-1049.5,223.5119018068239,-325.2798977729166,0.6871371496890389,40.72799593178818
11,2022-02-03,2900,RLI,Reliance Life Insurance Limited,584.0,584.4,572.0,574.0,24984,14372260.4,573.0,815.0,423.4,2022-02-03T14:59:59.816296,574.0,506,575.25,12054.0,153.5,153.5,0.0,211.262743705189,-268.3695040787441,0.7872084588389036,44.04681809475821
12,2022-02-03,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,3980.0,4010.0,3940.0,3945.0,1513,5989931.0,3973.0,5749.0,438.0,2022-02-03T14:59:35.747399,3945.0,80,3958.97,5818.88,3371.0,3371.0,0.0,746.8905350289464,-222.87642884219417,3.351141881216053,77.01752718482899
13,2022-02-03,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,1461.2,1487.9,1452.0,1487.9,4049,5939076.2,1491.0,2310.0,296.7,2022-02-03T14:56:05.934471,1487.9,109,1466.8,2109.03,-2457.1,0.0,-2457.1,623.5679293973951,-591.7795805576349,1.0537165354874294,51.30778845471681
14,2022-02-03,8023,MMF1,Mega Mutual Fund -1,9.03,9.36,9.03,9.3,22120,203309.0,9.2,10.28,8.58,2022-02-03T14:52:11.543898,9.3,83,9.19,1162.5,-1478.6000000000001,0.0,-1478.6000000000001,522.8494459019151,-735.0185182390145,0.711341868167591,41.56632180858499
15,2022-02-03,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,678.0,744.0,640.0,744.0,46157,30917649.2,678.0,744.0,246.7,2022-02-03T14:59:54.916414,744.0,2898,669.83,2976.0,734.7,734.7,0.0,556.4405812469239,-618.4735951805491,0.8996998183640871,47.36010445791679
16,2022-02-03,144,NCCB,Nepal Credit And Commercial Bank Limited,278.0,281.5,271.8,273.0,98739,27226574.6,276.0,407.0,252.8,2022-02-03T14:59:57.005119,273.0,383,275.74,30411.32,-471.0,0.0,-471.0,469.5751510102365,-595.4516271112849,0.7886033552184363,44.0904548746151
